degree_type,founder_count
"BCom Hons(Accounting), Finance",1
BCom LLB (Hons),1
BCom(H),1
BCom(Hons),1
BComm,1
BComm (Co-Op),1
BComm and BA,1
BComm degree,1
BComp,3
BComp-BSc,1
BD,1
BD in IT,1
BDes,2
BE,1335
BE (Chem),1
BE (Hons I),1
BE (Hons),1
BE (hons I),1
"BE (hons I),",1
BE - Bachelor of Engineering,1
BE Electrical,1
BE Electrical Engineering,1
"BE Hon1, Univ Medal",1
BE Hons,2
BE and MS,1
BE(Hons),1
"BE(Hons),",1
"BE, Computer Science and Enginee",1
"BE, MS",1
"BE, magna cum laude",1
"BE.,MBA.,LLB.,",1
BE/BCom,1
BE/BS,1
BE/BS (Engineering),1
BEE,11
BEEE,1
BEET,1
BENG,207
BEP,1
BEPC,1
BES,3
BESc,2
BET,1
BEc,4
BEc.,1
BEcon,1
BEcops,1
BEd,2
BEng,2
BEng (Hons) 1st class,1
BEng Computer,1
BEng Honours,1
BEng Hons (2:1),1
BEng Hons First Class,1
"BEng, Computer Systems Engineeri",1
"BEng, Mechanical Engineering",1
BEng/MEng,1
BEngSc,1
BF,1
BFA,308
BFA & BFA,1
BFA (Painting),1
BFA Graphic Design,1
BFA New Media,1
BFA and MFA,1
BFA  Magna Cum Laude,1
"BFA, Communication Arts emphasis",1
"BFA, Fine Art and Photography",1
BFA/BA,1
BFAA,1
BGD,2
BGS,7
BHA,1
BHB,3
BHM-HOTEL MANAGEMENT,1
BHMS,1
